LastName,FirstName,DateOfBirth,IdStr,Season,Age,EndTeam,MainPos,IsCenter,IsLeftWing,IsRightWing,Country,IsCanadian,IsAmerican,IsSwedish,IsRussian,IsCzech,IsFinnish,GamesPlayed,Goals,GoalsPerGame,Assists,AssistsPerGame,ShirtNumber,ShirtNumberLargerThanForty,GoalsPredictedLassoModel
Abdelkader,Justin,1987-02-25,Abdelkader_Justin_1987-02-25,2015-16,28,DET,LW,0,1,0,USA,0,1,0,0,0,0,82,19,0.231707317073,23,0.280487804878,8.0,0,14.1729453911
Acciari,Noel,1991-12-01,Acciari_Noel_1991-12-01,2015-16,24,BOS,C,1,0,0,USA,0,1,0,0,0,0,19,0,0.0,1,0.0526315789474,55.0,1,0.815585116725
Alzner,Karl,1988-09-24,Alzner_Karl_1988-09-24,2015-16,27,WSH,D,0,0,0,CAN,1,0,0,0,0,0,82,4,0.0487804878049,17,0.207317073171,27.0,0,3.8728416265
Anderson,Josh,1994-05-07,Anderson_Josh_1994-05-07,2015-16,21,CBJ,RW,0,0,1,CAN,1,0,0,0,0,0,12,1,0.0833333333333,3,0.25,34.0,0,7.17928516186
Andersson,Joakim,1989-02-05,Andersson_Joakim_1989-02-05,2015-16,26,DET,C,1,0,0,SWE,0,0,1,0,0,0,29,1,0.0344827586207,2,0.0689655172414,18.0,0,3.45259984472
Andreoff,Andy,1991-05-17,Andreoff_Andy_1991-05-17,2015-16,24,LAK,LW,0,1,0,CAN,1,0,0,0,0,0,60,8,0.133333333333,2,0.0333333333333,15.0,0,7.51179971861
Andrighetto,Sven,1993-03-21,Andrighetto_Sven_1993-03-21,2015-16,22,MTL,RW,0,0,1,CHE,0,0,0,0,0,0,44,7,0.159090909091,10,0.227272727273,42.0,1,11.5573635342
Anisimov,Artem,1988-05-24,Anisimov_Artem_1988-05-24,2015-16,27,CHI,C,1,0,0,RUS,0,0,0,1,0,0,77,20,0.25974025974,22,0.285714285714,15.0,0,16.9962551788
Arcobello,Mark,1988-08-12,Arcobello_Mark_1988-08-12,2015-16,27,TOR,RW,0,0,1,USA,0,1,0,0,0,0,20,3,0.15,1,0.05,33.0,0,7.06556719018
Armia,Joel,1993-05-31,Armia_Joel_1993-05-31,2015-16,22,WPG,RW,0,0,1,FIN,0,0,0,0,0,1,43,4,0.093023255814,6,0.139534883721,40.0,0,4.46764989067
Arvidsson,Viktor,1993-04-08,Arvidsson_Viktor_1993-04-08,2015-16,22,NSH,LW,0,1,0,SWE,0,0,1,0,0,0,56,8,0.142857142857,8,0.142857142857,38.0,0,10.6141302349
Athanasiou,Andreas,1994-08-06,Athanasiou_Andreas_1994-08-06,2015-16,21,DET,C,1,0,0,CAN,1,0,0,0,0,0,37,9,0.243243243243,5,0.135135135135,72.0,1,13.9626336976
Atkinson,Cam,1989-06-05,Atkinson_Cam_1989-06-05,2015-16,26,CBJ,RW,0,0,1,USA,0,1,0,0,0,0,81,27,0.333333333333,26,0.320987654321,13.0,0,20.4790083928
Backes,David,1984-05-01,Backes_David_1984-05-01,2015-16,31,STL,C,1,0,0,USA,0,1,0,0,0,0,79,21,0.26582278481,24,0.303797468354,42.0,1,15.7385798408
Backlund,Mikael,1989-03-17,Backlund_Mikael_1989-03-17,2015-16,26,CGY,C,1,0,0,SWE,0,0,1,0,0,0,82,21,0.256097560976,26,0.317073170732,11.0,0,17.8163583707
Backstrom,Nicklas,1987-11-23,Backstrom_Nicklas_1987-11-23,2015-16,28,WSH,C,1,0,0,SWE,0,0,1,0,0,0,75,20,0.266666666667,50,0.666666666667,19.0,0,20.9193139356
Baertschi,Sven,1992-10-05,Baertschi_Sven_1992-10-05,2015-16,23,VAN,LW,0,1,0,CHE,0,0,0,0,0,0,69,15,0.217391304348,13,0.188405797101,47.0,1,13.6065627999
Bailey,Josh,1989-10-02,Bailey_Josh_1989-10-02,2015-16,26,NYI,RW,0,0,1,CAN,1,0,0,0,0,0,81,12,0.148148148148,20,0.246913580247,12.0,0,11.4406175399
Barberio,Mark,1990-03-23,Barberio_Mark_1990-03-23,2015-16,25,MTL,D,0,0,0,CAN,1,0,0,0,0,0,30,2,0.0666666666667,8,0.266666666667,45.0,1,4.00742546013
Barkov,Aleksander,1995-09-02,Barkov_Aleksander_1995-09-02,2015-16,20,FLA,C,1,0,0,FIN,0,0,0,0,0,1,66,28,0.424242424242,31,0.469696969697,16.0,0,23.4432176559
Barrie,Tyson,1991-07-26,Barrie_Tyson_1991-07-26,2015-16,24,COL,D,0,0,0,CAN,1,0,0,0,0,0,78,13,0.166666666667,36,0.461538461538,4.0,0,12.2177766264
Bartkowski,Matt,1988-06-04,Bartkowski_Matt_1988-06-04,2015-16,27,VAN,D,0,0,0,USA,0,1,0,0,0,0,80,6,0.075,12,0.15,44.0,1,4.65069366612
Bartley,Victor,1988-02-17,Bartley_Victor_1988-02-17,2015-16,27,MTL,D,0,0,0,CAN,1,0,0,0,0,0,10,0,0.0,0,0.0,20.0,0,0.0
Bass,Cody,1987-01-07,Bass_Cody_1987-01-07,2015-16,28,NSH,C,1,0,0,CAN,1,0,0,0,0,0,17,0,0.0,0,0.0,16.0,0,0.0
Beagle,Jay,1985-10-16,Beagle_Jay_1985-10-16,2015-16,30,WSH,RW,0,0,1,CAN,1,0,0,0,0,0,57,8,0.140350877193,9,0.157894736842,83.0,1,8.56766201846
Beauchemin,Francois,1980-06-04,Beauchemin_Francois_1980-06-04,2015-16,35,COL,D,0,0,0,CAN,1,0,0,0,0,0,82,8,0.0975609756098,26,0.317073170732,32.0,0,5.15996779288
Beaulieu,Nathan,1992-12-05,Beaulieu_Nathan_1992-12-05,2015-16,23,MTL,D,0,0,0,CAN,1,0,0,0,0,0,64,2,0.03125,17,0.265625,28.0,0,3.95285224164
Beleskey,Matt,1988-06-07,Beleskey_Matt_1988-06-07,2015-16,27,BOS,LW,0,1,0,CAN,1,0,0,0,0,0,80,15,0.1875,22,0.275,39.0,0,12.3036876302
Bellemare,Pierre-Edouard,1985-03-06,Bellemare_Pierre-Edouard_1985-03-06,2015-16,30,PHI,LW,0,1,0,FRA,0,0,0,0,0,0,74,7,0.0945945945946,7,0.0945945945946,78.0,1,5.64805196568
Benn,Jamie,1989-07-18,Benn_Jamie_1989-07-18,2015-16,26,DAL,LW,0,1,0,CAN,1,0,0,0,0,0,82,41,0.5,48,0.585365853659,14.0,0,29.6720750387
Benn,Jordie,1987-07-26,Benn_Jordie_1987-07-26,2015-16,28,DAL,D,0,0,0,CAN,1,0,0,0,0,0,64,3,0.046875,9,0.140625,24.0,0,2.21518227091
Bennett,Beau,1991-11-27,Bennett_Beau_1991-11-27,2015-16,24,PIT,RW,0,0,1,USA,0,1,0,0,0,0,33,6,0.181818181818,6,0.181818181818,19.0,0,11.0006841089
Bennett,Sam,1996-06-20,Bennett_Sam_1996-06-20,2015-16,19,CGY,C,1,0,0,CAN,1,0,0,0,0,0,77,18,0.233766233766,18,0.233766233766,93.0,1,16.4956174514
